name,schedule_type,day_of_week,time,duration_minutes,location,cost_cad,description,frequency,is_recurring,priority,networking_potential,energy_level,tags
Beginner Adult Class (Coach Neel),tennis_schedule,Wednesday,9:00 AM,60,"Park Lawn Bubble Rink Tennis Courts, 340 Park Lawn Road, Toronto (outdoor)",25.0,Tennis class focusing on technique and gameplay,weekly,True,8,6,high,"fitness, recurring, tennis, sports"
Beginner Adult Class (Coach Omar),tennis_schedule,Wednesday,6:00 PM,60,"Harbord Collegiate Institute, 286 Harbord St, Toronto (outdoor)",25.0,Tennis class focusing on technique and gameplay,weekly,True,8,6,high,"fitness, recurring, tennis, sports"
Beginner Adult Class (Coach Ali),tennis_schedule,Thursday,7:00 PM,60,"Park Lawn Bubble Rink Tennis Courts, 340 Park Lawn Road, Toronto (outdoor)",25.0,Tennis class focusing on technique and gameplay,weekly,True,8,6,high,"fitness, recurring, tennis, sports"
Beginner 1.5 Adult Class (Coach Luis),tennis_schedule,Friday,6:00 PM,60,"Jonathan Ashbridge, 1515 Queen St E, Toronto (outdoor)",25.0,Tennis class focusing on technique and gameplay,weekly,True,8,6,high,"fitness, recurring, tennis, sports"
Masters Swim - Monday Morning,fitness_class,Monday,7:30 AM,90,The Toronto Athletic Club (50m pool),35.0,Masters swim practice at premium athletic club,weekly,True,7,5,high,"class, fitness, health, recurring"
Masters Swim - Wednesday Morning,fitness_class,Wednesday,7:30 AM,90,The Toronto Athletic Club (50m pool),35.0,Masters swim practice at premium athletic club,weekly,True,7,5,high,"class, fitness, health, recurring"
Masters Swim - Thursday Evening,fitness_class,Thursday,9:00 PM,120,The Toronto Athletic Club (50m pool),35.0,Masters swim practice at premium athletic club,weekly,True,7,5,high,"class, fitness, health, recurring"
Masters Swim - Friday Evening,fitness_class,Friday,8:30 PM,120,The Toronto Athletic Club (25yd pool),35.0,Masters swim practice at premium athletic club,weekly,True,7,5,high,"class, fitness, health, recurring"
Masters Swim - Sunday Morning,fitness_class,Sunday,10:00 AM,120,The Toronto Athletic Club (50m pool),35.0,Masters swim practice at premium athletic club,weekly,True,7,5,high,"class, fitness, health, recurring"
DSC Masters Swim - Tuesday Evening,fitness_class,Tuesday,7:00 PM,120,Jimmie Simpson Recreation Centre,15.0,Downtown Swim Club masters practice,weekly,True,7,5,high,"class, fitness, health, recurring"
DSC Masters Swim - Wednesday Evening,fitness_class,Wednesday,9:00 PM,60,Wellesley Community Centre,15.0,Downtown Swim Club masters practice,weekly,True,7,5,high,"class, fitness, health, recurring"
DSC Masters Swim - Thursday Evening,fitness_class,Thursday,8:00 PM,75,Pam McConnell Aquatic Centre,15.0,Downtown Swim Club masters practice,weekly,True,7,5,high,"class, fitness, health, recurring"
DSC Masters Swim - Saturday Afternoon,fitness_class,Saturday,5:00 PM,75,University of Toronto - Varsity Pool,15.0,Downtown Swim Club masters practice,weekly,True,7,5,high,"class, fitness, health, recurring"
Trillium Y Masters Swim,fitness_class,Tuesday,7:00 PM,90,"Toronto Sheppard Ave. YMCA Centre, 567 Sheppard Avenue East",20.0,Southern Ontario Trillium Y Masters Swim Club practice,weekly,True,7,5,high,"class, fitness, health, recurring"
Morning Run,fitness_class,Monday,6:00 AM,45,High Park,0.0,Morning jog through High Park,weekly,True,7,5,high,"class, health, outdoor, cardio, nature, fitness, recurring"
Morning Run,fitness_class,Wednesday,6:00 AM,45,Harbourfront,0.0,Morning jog along the waterfront,weekly,True,7,5,high,"class, health, outdoor, cardio, nature, fitness, recurring"
Morning Run,fitness_class,Friday,6:00 AM,45,Don Valley Trail,0.0,Morning trail run,weekly,True,7,5,high,"class, health, outdoor, cardio, nature, fitness, recurring"
Yoga Session,fitness_class,Tuesday,7:00 PM,75,Local Yoga Studio,20.0,Evening yoga practice,weekly,True,7,5,high,"class, flexibility, strength, health, fitness, recurring, indoor"
Pilates Class,fitness_class,Thursday,7:00 PM,60,Core Fitness Studio,25.0,Evening pilates session,weekly,True,7,5,high,"class, flexibility, strength, health, fitness, recurring, indoor"
Hiking Adventure,fitness_class,Saturday,9:00 AM,180,Scarborough Bluffs,0.0,Weekend hiking adventure,weekly,True,7,5,high,"class, health, outdoor, cardio, nature, fitness, recurring"
Bike Ride,fitness_class,Sunday,10:00 AM,120,Waterfront Trail,0.0,Sunday bike ride along the waterfront,weekly,True,7,5,high,"class, health, outdoor, cardio, nature, fitness, recurring"
Fashion Industry Mixer,social_event,Wednesday,6:00 PM,120,Fashion District,30.0,Monthly fashion industry networking event,weekly,False,6,8,medium,"cultural, social, event, networking"
Art Gallery Opening,social_event,Thursday,7:00 PM,180,Art Gallery of Ontario,0.0,Monthly art gallery opening reception,weekly,False,6,8,medium,"cultural, social, event, networking"
Professional Workshop,work_schedule,2024-01-20,2:00 PM,120,Conference Center,50.0,Monthly professional development workshop,weekly,False,6,8,medium,"social, development, professional, event, networking"
Industry Conference,work_schedule,2024-01-20,9:00 AM,480,Metro Toronto Convention Centre,100.0,Quarterly industry conference,weekly,False,6,8,medium,"social, development, professional, event, networking"
Wine Tasting,social_event,Friday,7:00 PM,150,Local Wine Bar,40.0,Monthly wine tasting event,weekly,False,6,8,medium,"cultural, social, event, networking"
Cultural Festival,social_event,Sunday,12:00 PM,240,Harbourfront Centre,25.0,Seasonal cultural festival,weekly,False,6,8,medium,"cultural, social, event, networking"
