id|title|description|image|location|eventType|startDate|endDate|registrationDeadline|duration|activityDetails|cost|website|travelTime|googleMapLink|lgbtqFriendly|tags|lastUpdated|subcategory|socialMedia|recurring|venueAccessibility|pronouns|ageRestriction|skillLevel|recurrenceType|recurrencePattern|specificDates|daysOfWeek|time|weekOfMonth
11|Queer Cooking Class|Monthly cooking workshops celebrating diverse cuisines|https://source.unsplash.com/random/?cooking,queer|The Depanneur, 1033 College St|community|2025-07-20|2026-04-20||3 hours|Hands-on cooking, recipes, community - Third Sunday each month 2PM|$45|https://thedepanneur.ca|20 mins|N/A|true|cooking,workshop,community,food|2025-07-05T17:07:00-04:00|workshop|"{""instagram"":""thedepanneur""}"|true|wheelchair accessible|all|all-ages|All levels|recurring|Monthly||||
12|Pride Trivia Night|Weekly trivia focusing on LGBTQ+ history and culture|https://source.unsplash.com/random/?trivia,pride|Glad Day Bookshop, 499 Church St|social|2025-07-09|2026-04-30||2 hours|Trivia questions, prizes, community - Wednesdays 7PM|$5|https://www.gladday.ca|15 mins|N/A|true|trivia,history,culture,social|2025-07-05T17:07:00-04:00|social|"{""instagram"":""gladdaybookshop""}"|true|wheelchair accessible|all|19+|All levels|recurring|Weekly||||
13|Trans Clothing Swap|Monthly clothing exchange for trans and non-binary individuals|https://source.unsplash.com/random/?clothing,trans|The 519, 519 Church St|community|2025-07-13|2026-04-13||2 hours|Clothing exchange, styling tips, community - Second Sunday each month 1PM|Free|https://www.the519.org|10 mins|N/A|true|trans,clothing,community,swap|2025-07-05T17:07:00-04:00|community|"{""instagram"":""the519""}"|true|wheelchair accessible,gender-neutral facilities|all|all-ages|All levels|recurring|Monthly||||
14|Queer Game Night|Weekly board game and video game meetups|https://source.unsplash.com/random/?games,queer|Snakes & Lattes, 600 Bloor St W|social|2025-07-01|2026-04-30||3 hours|Board games, video games, socializing - Tuesdays 7PM|$10|https://snakesandlattes.com|25 mins|N/A|true|games,social,community,fun|2025-07-05T17:07:00-04:00|social|"{""instagram"":""snakesandlattes""}"|true|wheelchair accessible|all|18+|All levels|recurring|Weekly||||
15|Lesbian Speed Dating|Monthly speed dating events for lesbian and queer women|https://source.unsplash.com/random/?dating,lesbian|Crews & Tangos, 508 Church St|social|2025-07-17|2026-04-17||2 hours|Speed dating, mixer, socializing - Third Thursday each month 7PM|$20|https://www.eventbrite.ca/e/crews-and-tangos-drag-show-tickets-160389688877|10 mins|N/A|true|lesbian,dating,social,women|2025-07-05T17:07:00-04:00|social|"{""instagram"":""crewsandtangos""}"|true|wheelchair accessible|all|19+|All levels|recurring|Monthly||||
16|Queer Art Show|Monthly art exhibitions featuring LGBTQ+ artists|https://source.unsplash.com/random/?art,queer|Gallery 1313, 1313 Queen St W|community|2025-07-25|2026-04-25||Evening|Art exhibitions, artist talks, wine reception - Last Friday each month 7PM|$15|N/A|30 mins|N/A|true|art,gallery,artists,culture|2025-07-05T17:07:00-04:00|arts|"{""instagram"":""gallery1313""}"|true|wheelchair accessible|all|all-ages|All levels|recurring|Monthly||||
17|Gay Men's Chorus Concert|Seasonal concerts by Toronto's gay men's chorus|https://source.unsplash.com/random/?chorus,gay|Glenn Gould Studio, CBC|performance|2025-10-15|2025-10-15||2 hours|Choral performance, classical and contemporary music|$25-35|https://gmct.ca|20 mins|N/A|true|chorus,music,performance,gay|2025-07-05T17:07:00-04:00|performance|"{""instagram"":""gmct""}"|false|wheelchair accessible,ASL interpretation|all|all-ages|All levels|recurring|Seasonal||||
18|Drag King Workshop|Monthly workshops for aspiring drag kings|https://source.unsplash.com/random/?drag,king|Buddies in Bad Times Theatre, 12 Alexander St|performance|2025-07-26|2026-04-26||3 hours|Drag techniques, performance tips, community - Last Saturday each month 2PM|$30|https://buddiesinbadtimes.com|15 mins|N/A|true|drag,king,workshop,performance|2025-07-05T17:07:00-04:00|workshop|"{""instagram"":""buddiesinbadtimes""}"|true|wheelchair accessible,gender-neutral facilities|all|18+|All levels|recurring|Monthly||||
19|Queer Hiking Group|Monthly hiking trips for LGBTQ+ outdoor enthusiasts|https://source.unsplash.com/random/?hiking,queer|Various GTA locations|community|2025-07-19|2026-04-19||Full day|Guided hikes, nature walks, community - Third Saturday each month 10AM|$5|https://queerhikingto.com|60-90 mins|varies|true|hiking,outdoor,nature,community|2025-07-05T17:07:00-04:00|outdoor|"{""instagram"":""queerhikingto""}"|true|varies by location|all|16+|All levels|recurring|Monthly||||
20|Trans Hockey League|Winter hockey league for trans and non-binary players|https://source.unsplash.com/random/?hockey,trans|Moss Park Arena, 141 Queen St E|community|2025-11-01|2026-03-31||Season|Weekly games, practices, social events|$150|https://transhockeyleague.ca|15 mins|N/A|true|hockey,trans,sports,league|2025-07-05T17:07:00-04:00|sports|"{""instagram"":""transhockeyleague""}"|true|wheelchair accessible|all|18+|All levels|recurring|Varies - check details||||
21|Queer Meditation Circle|Weekly meditation and mindfulness sessions|https://source.unsplash.com/random/?meditation,queer|The 519, 519 Church St|community|2025-07-07|2026-04-30||1 hour|Guided meditation, mindfulness practices - Mondays 7PM|Free|https://www.the519.org|10 mins|N/A|true|meditation,wellness,mindfulness,community|2025-07-05T17:07:00-04:00|wellness|"{""instagram"":""the519""}"|true|wheelchair accessible,quiet space|all|18+|All levels|recurring|Weekly||||
22|Lesbian Comedy Night|Monthly comedy show featuring lesbian and queer women comedians|https://source.unsplash.com/random/?comedy,lesbian|Second City Toronto, 51 Mercer St|performance|2025-07-14|2026-04-14||2 hours|Stand-up comedy, drag performances - Second Monday each month 8PM|$20|https://www.secondcity.com/|25 mins|N/A|true|comedy,lesbian,performance,entertainment|2025-07-05T17:07:00-04:00|performance|"{""instagram"":""secondcitytoronto""}"|true|wheelchair accessible|all|19+|All levels|recurring|Monthly||||
23|Trans Day of Remembrance|Annual memorial event honoring transgender lives|https://source.unsplash.com/random/?memorial,trans|The 519, 519 Church St|community|2025-11-20|2025-11-20||2 hours|Memorial service, speeches, community gathering|Free|https://www.the519.org|10 mins|N/A|true|trans,memorial,community,remembrance|2025-07-05T17:07:00-04:00|memorial|"{""instagram"":""the519""}"|false|wheelchair accessible,ASL interpretation|all|all-ages|All levels|recurring|Annual||||
24|Queer Karaoke Night|Weekly karaoke nights with LGBTQ+ favorites|https://source.unsplash.com/random/?karaoke,queer|Crews & Tangos, 508 Church St|nightlife|2025-07-08|2026-04-30||3 hours|Karaoke, drinks, socializing - Tuesdays 9PM|$5|https://www.eventbrite.ca/e/crews-and-tangos-drag-show-tickets-160389688877|10 mins|N/A|true|karaoke,music,nightlife,social|2025-07-05T17:07:00-04:00|nightlife|"{""instagram"":""crewsandtangos""}"|true|wheelchair accessible|all|19+|All levels|recurring|Weekly||||
25|Pride Photography Workshop|Monthly photography workshops with LGBTQ+ themes|https://source.unsplash.com/random/?photography,pride|Ryerson Image Centre, 33 Gould St|community|2025-07-16|2026-04-16||3 hours|Photography techniques, LGBTQ+ themes - Third Wednesday each month 6PM|$40|https://theimagecentre.ca/|20 mins|N/A|true|photography,workshop,art,pride|2025-07-05T17:07:00-04:00|workshop|"{""instagram"":""ryersonimagecentre""}"|true|wheelchair accessible|all|16+|All levels|recurring|Monthly||||
26|Queer Writers Group|Monthly writing circle for LGBTQ+ authors|https://source.unsplash.com/random/?writing,queer|Glad Day Bookshop, 499 Church St|community|2025-07-10|2026-04-10||2 hours|Writing exercises, feedback, community - Second Thursday each month 7PM|$10|https://www.gladday.ca|15 mins|N/A|true|writing,literature,workshop,community|2025-07-05T17:07:00-04:00|workshop|"{""instagram"":""gladdaybookshop""}"|true|wheelchair accessible|all|18+|All levels|recurring|Monthly||||
27|Trans Yoga Class|Weekly yoga sessions for trans and non-binary individuals|https://source.unsplash.com/random/?yoga,trans|The 519, 519 Church St|community|2025-07-05|2026-04-30||1 hour|Gentle yoga, body-positive environment - Saturdays 10AM|$15|https://www.the519.org|10 mins|N/A|true|yoga,trans,wellness,fitness|2025-07-05T17:07:00-04:00|wellness|"{""instagram"":""the519""}"|true|wheelchair accessible,gender-neutral facilities|all|16+|All levels|recurring|Weekly||||
28|Queer Film Club|Monthly film screenings and discussions|https://source.unsplash.com/random/?film,queer|TIFF Bell Lightbox, 350 King St W|community|2025-07-18|2026-04-18||3 hours|Film screenings, discussions, Q&As - Third Friday each month 7PM|$12|https://tiff.net|30 mins|N/A|true|film,discussion,arts,culture|2025-07-05T17:07:00-04:00|arts|"{""instagram"":""tiff""}"|true|wheelchair accessible,ASL interpretation|all|18+|All levels|recurring|Monthly||||
29|Drag Bingo|Weekly bingo nights hosted by drag performers|https://source.unsplash.com/random/?bingo,drag|Woody's Bar, 467 Church St|nightlife|2025-07-03|2026-04-30||2 hours|Bingo games, drag performances, prizes - Thursdays 8PM|$10|https://woodysbar.ca|10 mins|N/A|true|bingo,drag,nightlife,entertainment|2025-07-05T17:07:00-04:00|nightlife|"{""instagram"":""woodysbar""}"|true|wheelchair accessible|all|19+|All levels|recurring|Weekly||||
30|Queer Crafts Circle|Monthly crafting sessions and workshops|https://source.unsplash.com/random/?crafts,queer|The Depanneur, 1033 College St|community|2025-07-27|2026-04-27||3 hours|Crafting projects, supplies provided - Last Sunday each month 2PM|$25|https://thedepanneur.ca|20 mins|N/A|true|crafts,workshop,community,creative|2025-07-05T17:07:00-04:00|workshop|"{""instagram"":""thedepanneur""}"|true|wheelchair accessible|all|all-ages|All levels|recurring|Monthly||||
31|Bi+ Meetup|Monthly social meetup for bisexual and pansexual individuals|https://source.unsplash.com/random/?bisexual,social|The 519, 519 Church St|social|2025-07-23|2026-04-23||2 hours|Social mixer, discussions, community - Fourth Wednesday each month 7PM|Free|https://www.the519.org|10 mins|N/A|true|bisexual,pansexual,social,community|2025-07-05T17:07:00-04:00|social|"{""instagram"":""the519""}"|true|wheelchair accessible,gender-neutral facilities|all|18+|All levels|recurring|Monthly||||
32|Queer Salsa Dancing|Weekly salsa dancing lessons and social dance|https://source.unsplash.com/random/?salsa,queer|Lula Lounge, 1585 Dundas St W|social|2025-07-06|2026-04-30||2 hours|Salsa lessons, social dancing - Sundays 7PM|$15|N/A|30 mins|http://maps.google.com/maps?q=loc:+3440+mission+blvd+San+Diego+ca+US&ie=UTF8&hq=&hnear=3440+Mission+Blvd,+San+Diego,+California+92109&t=h&z=16|true|salsa,dance,social,latin|2025-07-05T17:07:00-04:00|dance|"{""instagram"":""lulalounge""}"|true|wheelchair accessible|all|18+|All levels|recurring|Weekly||||
33|Trans Health Workshop|Monthly health and wellness workshops for trans individuals|https://source.unsplash.com/random/?health,trans|Sherbourne Health Centre, 333 Sherbourne St|community|2025-07-21|2026-04-21||2 hours|Health education, resources, Q&A - Third Monday each month 6PM|Free|https://sherbourne.on.ca|15 mins|N/A|true|trans,health,wellness,education|2025-07-05T17:07:00-04:00|health|"{""instagram"":""sherbournehealth""}"|true|wheelchair accessible,gender-neutral facilities|all|18+|All levels|recurring|Monthly||||
34|Queer Zumba Class|Weekly Zumba fitness classes with LGBTQ+ music|https://source.unsplash.com/random/?zumba,queer|Harbourfront Community Centre, 627 Queens Quay W|community|2025-07-02|2026-04-30||1 hour|Zumba fitness, dance, music - Wednesdays 7PM|$12|https://harbourfrontcentre.com|25 mins|N/A|true|zumba,fitness,dance,music|2025-07-05T17:07:00-04:00|fitness|"{""instagram"":""harbourfrontcentre""}"|true|wheelchair accessible|all|16+|All levels|recurring|Weekly||||
35|Drag Queen Makeup Workshop|Monthly makeup workshops with drag performers|https://source.unsplash.com/random/?makeup,drag|Buddies in Bad Times Theatre, 12 Alexander St|performance|2025-07-28|2026-04-28||3 hours|Makeup techniques, drag tips, practice - Last Monday each month 6PM|$35|https://buddiesinbadtimes.com|15 mins|N/A|true|drag,makeup,workshop,beauty|2025-07-05T17:07:00-04:00|workshop|"{""instagram"":""buddiesinbadtimes""}"|true|wheelchair accessible,gender-neutral facilities|all|16+|All levels|recurring|Monthly||||
36|Queer Tennis League|Summer tennis league for LGBTQ+ players|https://source.unsplash.com/random/?tennis,queer|High Park Tennis Courts, 1873 Bloor St W|community|2025-07-01|2025-09-30||Season|Weekly matches, tournaments, social events|$80|https://queertennisto.com|30 mins|N/A|true|tennis,sports,league,outdoor|2025-07-05T17:07:00-04:00|sports|"{""instagram"":""queertennisto""}"|true|outdoor courts|all|18+|All levels|recurring|Varies - check details||||
37|Trans Support Group - East End|Weekly support group for trans individuals in east Toronto|https://source.unsplash.com/random/?support,trans|East End Community Health Centre, 1619 Queen St E|community|2025-07-03|2026-04-30||1.5 hours|Peer support, resources, community - Thursdays 7PM|Free|https://eechc.org|35 mins|N/A|true|trans,support,community,east|2025-07-05T17:07:00-04:00|support|"{""instagram"":""eechc""}"|true|wheelchair accessible,gender-neutral facilities|all|18+|All levels|recurring|Weekly||||
38|Queer Volleyball League|Indoor volleyball league for LGBTQ+ players|https://source.unsplash.com/random/?volleyball,queer|Ryerson Athletic Centre, 350 Victoria St|community|2025-09-15|2026-04-15||Season|Weekly games, tournaments, social events|$120|https://queervolleyballto.com|20 mins|N/A|true|volleyball,sports,league,indoor|2025-07-05T17:07:00-04:00|sports|"{""instagram"":""queervolleyballto""}"|true|wheelchair accessible|all|18+|All levels|recurring|Varies - check details||||
39|Lesbian Wine Tasting|Monthly wine tasting events for lesbian and queer women|https://source.unsplash.com/random/?wine,lesbian|The Wine Bar, 13 Baldwin St|social|2025-07-24|2026-04-24||2 hours|Wine tastings, cheese pairings, socializing - Fourth Thursday each month 7PM|$30|https://www.provencemarinaside.ca/|20 mins|N/A|true|wine,lesbian,social,tasting|2025-07-05T17:07:00-04:00|social|"{""instagram"":""thewinebar""}"|true|wheelchair accessible|all|19+|All levels|recurring|Monthly||||
40|Queer Open Mic Night|Weekly open mic performances for LGBTQ+ artists|https://source.unsplash.com/random/?openmic,queer|Glad Day Bookshop, 499 Church St|performance|2025-07-04|2026-04-30||3 hours|Open mic, poetry, music, comedy - Fridays 8PM|Free|https://www.gladday.ca|15 mins|N/A|true|openmic,performance,music,poetry|2025-07-05T17:07:00-04:00|performance|"{""instagram"":""gladdaybookshop""}"|true|wheelchair accessible|all|18+|All levels|recurring|Weekly||||
41|Trans Swimming Group|Weekly swimming sessions for trans and non-binary individuals|https://source.unsplash.com/random/?swimming,trans|Regent Park Aquatic Centre, 402 Shuter St|community|2025-07-06|2026-04-30||1 hour|Swimming, aqua fitness, community - Sundays 2PM|$8|https://regentparkaquatic.com|20 mins|N/A|true|swimming,trans,fitness,aquatic|2025-07-05T17:07:00-04:00|fitness|"{""instagram"":""regentparkaquatic""}"|true|wheelchair accessible,gender-neutral facilities|all|16+|All levels|recurring|Weekly||||
42|Queer Cooking Competition|Monthly cooking competitions with LGBTQ+ themes|https://source.unsplash.com/random/?cooking,competition|George Brown College, 300 Adelaide St E|community|2025-07-13|2026-04-13||4 hours|Cooking challenges, judging, prizes - Second Sunday each month 1PM|$20|https://www.georgebrown.ca/|25 mins|N/A|true|cooking,competition,culinary,fun|2025-07-05T17:07:00-04:00|competition|"{""instagram"":""georgebrownchef""}"|true|wheelchair accessible|all|18+|All levels|recurring|Monthly||||
43|Drag King Showcase|Monthly drag king performance nights|https://source.unsplash.com/random/?drag,king|Buddies in Bad Times Theatre, 12 Alexander St|performance|2025-07-12|2026-04-12||2 hours|Drag king performances, music, entertainment - Second Saturday each month 9PM|$15|https://buddiesinbadtimes.com|15 mins|N/A|true|drag,king,performance,entertainment|2025-07-05T17:07:00-04:00|performance|"{""instagram"":""buddiesinbadtimes""}"|true|wheelchair accessible,gender-neutral facilities|all|19+|All levels|recurring|Monthly||||
44|Queer Basketball League|Weekly basketball games for LGBTQ+ players|https://source.unsplash.com/random/?basketball,queer|Regent Park Community Centre, 402 Shuter St|community|2025-09-01|2026-04-30||Season|Weekly games, practices, tournaments|$100|https://queerbasketballto.com|20 mins|N/A|true|basketball,sports,league,indoor|2025-07-05T17:07:00-04:00|sports|"{""instagram"":""queerbasketballto""}"|true|wheelchair accessible|all|18+|All levels|recurring|Weekly||||
45|Trans Job Fair|Quarterly job fair for transgender individuals|https://source.unsplash.com/random/?jobs,trans|Metro Toronto Convention Centre, 255 Front St W|community|2025-09-15|2025-09-15||6 hours|Job opportunities, networking, resources|Free|https://transjobfair.ca|30 mins|http://maps.google.com/maps?client=safari&oe=UTF-8&ie=UTF8&q=caffe+umbria+portland&fb=1&gl=us&hq=caffe+umbria&hnear=Portland,+OR&hl=en&view=map&cid=2061744303686307634&z=16&iwloc=A|true|trans,jobs,professional,career|2025-07-05T17:07:00-04:00|professional|"{""instagram"":""transjobfair""}"|false|wheelchair accessible,gender-neutral facilities|all|18+|All levels|one-time|||||
46|Queer Poetry Slam|Monthly poetry competition and open mic|https://source.unsplash.com/random/?poetry,queer|The Phoenix Concert Theatre, 410 Sherbourne St|performance|2025-07-19|2026-04-19||3 hours|Poetry slam, open mic, prizes - Third Saturday each month 8PM|$10|https://thephoenixconcerttheatre.com|15 mins|N/A|true|poetry,performance,competition,spoken|2025-07-05T17:07:00-04:00|performance|"{""instagram"":""phoenixconcerttheatre""}"|true|wheelchair accessible|all|18+|All levels|recurring|Monthly||||
47|Lesbian Hiking Group|Monthly hiking trips for lesbian and queer women|https://source.unsplash.com/random/?hiking,lesbian|Various GTA locations|community|2025-07-26|2026-04-26||Full day|Guided hikes, nature walks, community - Last Saturday each month 9AM|$10|https://lesbianhikingto.com|60-90 mins|varies|true|hiking,lesbian,outdoor,nature|2025-07-05T17:07:00-04:00|outdoor|"{""instagram"":""lesbianhikingto""}"|true|varies by location|all|18+|All levels|recurring|Monthly||||
48|Queer Chess Club|Weekly chess games and tournaments|https://source.unsplash.com/random/?chess,queer|The Annex Chess Club, 918 Bathurst St|social|2025-07-01|2026-04-30||2 hours|Chess games, tournaments, lessons - Tuesdays 7PM|$5|https://annexchess.com|25 mins|N/A|true|chess,games,strategy,social|2025-07-05T17:07:00-04:00|social|"{""instagram"":""annexchess""}"|true|wheelchair accessible|all|16+|All levels|recurring|Weekly||||
49|Trans Parenting Group|Monthly support group for transgender parents|https://source.unsplash.com/random/?parenting,trans|The 519, 519 Church St|community|2025-07-14|2026-04-14||2 hours|Parenting support, resources, community - Second Monday each month 7PM|Free|https://www.the519.org|10 mins|N/A|true|trans,parenting,family,support|2025-07-05T17:07:00-04:00|support|"{""instagram"":""the519""}"|true|wheelchair accessible,gender-neutral facilities|all|18+|All levels|recurring|Monthly||||
50|Queer Badminton Club|Weekly badminton games and social play|https://source.unsplash.com/random/?badminton,queer|Harbourfront Community Centre, 627 Queens Quay W|community|2025-07-07|2026-04-30||2 hours|Badminton games, social play, tournaments - Mondays 7PM|$15|https://queerbadminton.ca|25 mins|N/A|true|badminton,sports,social,indoor|2025-07-05T17:07:00-04:00|sports|"{""instagram"":""queerbadminton""}"|true|wheelchair accessible|all|16+|All levels|recurring|Weekly||||
51|Drag Queen Singing Workshop|Monthly vocal training with drag performers|https://source.unsplash.com/random/?singing,drag|The Royal Conservatory, 273 Bloor St W|performance|2025-07-29|2026-04-29||2 hours|Vocal training, performance tips, practice - Last Tuesday each month 7PM|$40|https://www.rcmusic.com/|20 mins|N/A|true|singing,drag,vocal,performance|2025-07-05T17:07:00-04:00|workshop|"{""instagram"":""rcmusic""}"|true|wheelchair accessible|all|16+|All levels|recurring|Monthly||||
52|Queer Bowling League|Weekly bowling league for LGBTQ+ players|https://source.unsplash.com/random/?bowling,queer|Playtime Bowl, 33 Sammon Ave|community|2025-09-02|2026-04-30||Season|Weekly games, tournaments, social events|$80|https://playtimebowl.com|35 mins|N/A|true|bowling,sports,league,social|2025-07-05T17:07:00-04:00|sports|"{""instagram"":""playtimebowl""}"|true|wheelchair accessible|all|18+|All levels|recurring|Weekly||||
53|Trans Art Therapy|Weekly art therapy sessions for transgender individuals|https://source.unsplash.com/random/?art,therapy|Centre for Addiction and Mental Health, 1001 Queen St W|community|2025-07-04|2026-04-30||1.5 hours|Art therapy, creative expression, healing - Fridays 2PM|Free|https://camh.ca|20 mins|http://maps.google.com/maps/place?cid=5256954103822077475&q=parking&hl=en&dtab=0&sll=37.795525,-122.398134&sspn=0.009885,0.010257&ie=UTF8&ll=37.800578,-122.403263&spn=0,0&z=17|true|trans,art,therapy,wellness|2025-07-05T17:07:00-04:00|wellness|"{""instagram"":""camh""}"|true|wheelchair accessible,gender-neutral facilities|all|18+|All levels|recurring|Weekly||||
54|Queer Cycling Group|Weekly cycling rides around Toronto|https://source.unsplash.com/random/?cycling,queer|Various Toronto locations|community|2025-07-05|2026-04-30||3 hours|Group rides, different routes, socializing - Saturdays 10AM|Free|https://queercycling.to|varies|varies|true|cycling,outdoor,fitness,social|2025-07-05T17:07:00-04:00|outdoor|"{""instagram"":""queercycling""}"|true|varies by route|all|16+|All levels|recurring|Weekly||||
55|Lesbian Stand-Up Comedy|Monthly comedy nights featuring lesbian comedians|https://source.unsplash.com/random/?comedy,lesbian|Comedy Bar, 945 Bloor St W|performance|2025-07-22|2026-04-22||2 hours|Stand-up comedy, drinks, socializing - Fourth Tuesday each month 8PM|$15|https://comedybar.ca|25 mins|N/A|true|comedy,lesbian,performance,entertainment|2025-07-05T17:07:00-04:00|performance|"{""instagram"":""comedybar""}"|true|wheelchair accessible|all|19+|All levels|recurring|Monthly||||
56|Queer Entrepreneurs Network|Monthly networking events for LGBTQ+ business owners|https://source.unsplash.com/random/?business,queer|Toronto Board of Trade, 1 First Canadian Place|community|2025-07-31|2026-04-30||2 hours|Networking, presentations, resources - Last Thursday each month 6PM|$25|https://queerentrepreneurs.ca|15 mins|N/A|true|business,networking,professional,entrepreneurs|2025-07-05T17:07:00-04:00|professional|"{""instagram"":""queerentrepreneurs""}"|true|wheelchair accessible|all|18+|All levels|recurring|Monthly||||
57|Trans Dance Workshop|Monthly dance workshops for transgender individuals|https://source.unsplash.com/random/?dance,trans|Harbourfront Community Centre, 627 Queens Quay W|performance|2025-07-15|2026-04-15||2 hours|Dance techniques, expression, community - Third Tuesday each month 7PM|$20|https://harbourfrontcentre.com|25 mins|N/A|true|dance,trans,workshop,movement|2025-07-05T17:07:00-04:00|workshop|"{""instagram"":""harbourfrontcentre""}"|true|wheelchair accessible,gender-neutral facilities|all|16+|All levels|recurring|Monthly||||
58|Queer Trivia Championship|Annual trivia competition with LGBTQ+ themes|https://source.unsplash.com/random/?trivia,championship|The Danforth Music Hall, 147 Danforth Ave|social|2025-11-15|2025-11-15||4 hours|Trivia competition, prizes, entertainment|$20|https://www.thedanforth.com/|30 mins|N/A|true|trivia,competition,championship,prizes|2025-07-05T17:07:00-04:00|competition|"{""instagram"":""thedanforth""}"|false|wheelchair accessible|all|19+|All levels|recurring|Annual||||
