id|title|description|image|location|eventType|skillLevel|startDate|endDate|registrationDeadline|duration|activityDetails|cost|website|travelTime|googleMapLink|lgbtqFriendly|tags|lastUpdated|subcategory|socialMedia|recurring|venueAccessibility|pronouns|ageRestriction|recurrenceType|recurrencePattern|specificDates|daysOfWeek|time|weekOfMonth
as11|Toronto Pan Am Sports Centre Swimming|Public swimming and lane swim programs|https://source.unsplash.com/random/?swimming,pool|Toronto Pan Am Sports Centre, 875 Morningside Ave, Toronto, ON M1C 0C7|sports|All levels|2025-06-01|2025-12-31|Not required|Varies by program|Public swimming and lane swim programs|Drop-in fees apply|https://www.toronto.ca/recreation|~45-60 minutes driving/public transit (Scarborough)|https://www.google.com/maps/search/?api=1&query=Toronto%20Pan%20Am%20Sports%20Centre|false|Swimming,Public,Lane Swim|2025-05-28T20:00:00-04:00|swimming|{}|true|weekly|wheelchair accessible|all|recurring|Varies - check details||||
as12|Downtown YMCA Swimming|Swimming programs and lessons for all ages|https://source.unsplash.com/random/?swimming,ymca|Central YMCA, 20 Grosvenor St, Toronto, ON M4Y 2V5|sports|All levels|2025-06-01|2025-12-31|Check website|Varies by program|Swimming programs and lessons for all ages|Membership/program fees apply|https://ymcagta.org|In-town (Downtown)|https://www.google.com/maps/search/?api=1&query=Central%20YMCA|false|Swimming,Lessons,YMCA|2025-05-28T20:00:00-04:00|swimming|{}|true|weekly|wheelchair accessible|all|recurring|Varies - check details||||
as13|Toronto Rainbow Swim|LGBTQ+ friendly swimming group|https://source.unsplash.com/random/?swimming,lgbtq|Various locations|sports|All levels|2025-06-01|2025-12-31|Not required|Varies by session|LGBTQ+ friendly swimming group with regular meetups|Drop-in fees apply|https://www.torontorainbowswim.com|In-town (Varies by location)||true|Swimming,LGBTQ+,Group,Inclusive|2025-05-28T20:00:00-04:00|swimming|{}|true|weekly|varies by location|all|recurring|Varies - check details||||
as14|Queer Fitness Toronto|LGBTQ+ friendly fitness classes and programs|https://source.unsplash.com/random/?fitness,lgbtq|Various locations|sports|All levels|2025-06-01|2025-12-31|Check website|60-90 minutes per class|LGBTQ+ friendly fitness classes and programs|Class fees apply|https://www.queerfitnesstoronto.com|In-town (Varies by location)||true|Fitness,LGBTQ+,Classes,Inclusive|2025-05-28T20:00:00-04:00|fitness|{}|true|weekly|varies by location|all|recurring|Varies - check details||||
as15|Toronto Parks Fitness|Outdoor fitness classes in various parks|https://source.unsplash.com/random/?fitness,park|Various Toronto Parks|sports|All levels|2025-06-01|2025-09-30|Not required|60 minutes per class|Outdoor fitness classes in various parks|Free/Pay what you can|https://www.toronto.ca/recreation|In-town (Varies by location)||false|Fitness,Outdoors,Parks,Free|2025-05-28T20:00:00-04:00|fitness|{}|true|weekly|outdoor access|all|recurring|Varies - check details||||
as16|Toronto Outdoor Fitness|Boot camp style workouts|https://source.unsplash.com/random/?bootcamp,fitness|Various park locations|sports|All levels|2025-01-01|2025-12-31|Check website|60 minutes per session|Boot camp style workouts, running and circuit training|$15/class or $100/month|https://www.torontooutdoorfitness.com|Varies by location|https://www.google.com/maps/search/?api=1&query=Various%20Parks|false|Fitness,Bootcamp,Outdoors,Training|2025-05-28T20:00:00-04:00|fitness|{}|true|weekly|outdoor access|all|recurring|Varies - check details||||
as17|Inclusive Yoga Toronto|LGBTQ+ friendly yoga classes|https://source.unsplash.com/random/?yoga,lgbtq|Various locations|sports|All levels|2025-06-01|2025-12-31|Check website|60-90 minutes per class|LGBTQ+ friendly yoga classes with focus on inclusivity|Class fees apply|https://www.inclusiveyogatoronto.com|In-town (Varies by location)||true|Yoga,LGBTQ+,Classes,Inclusive|2025-05-28T20:00:00-04:00|yoga|{}|true|weekly|varies by location|all|recurring|Varies - check details||||
as18|Waterfront Yoga|Free outdoor yoga classes by the waterfront|https://source.unsplash.com/random/?yoga,waterfront|HTO Park, 339 Queens Quay W, Toronto, ON M5V 1A2|sports|All levels|2025-06-01|2025-09-30|Not required|60 minutes per class|Free outdoor yoga classes by the waterfront|Free|https://www.waterfrontyogatoronto.com|In-town (Downtown)|https://www.google.com/maps/search/?api=1&query=HTO%20Park|false|Yoga,Outdoors,Waterfront,Free|2025-05-28T20:00:00-04:00|yoga|{}|true|weekly|outdoor access|all|recurring|Varies - check details||||
as19|Toronto Sport & Social Club Multi-Sport|Multiple sports leagues for young professionals|https://source.unsplash.com/random/?sports,social|Multiple locations across GTA|sports|All levels|2025-06-01|2025-09-30|2025-05-15|12-14 weeks per season|Multiple sports leagues with recreational and intermediate divisions|Team: $800-1200/team/season, Individual: $100-150/person/season|www.torontossc.com|15-30 minutes (varies by location)|https://www.google.com/maps/search/?api=1&query=TSSC%20Locations|true|Multi-Sport,Social,Recreation,Team Sports|2025-05-28T20:00:00-04:00|multi-sport|{}|true|seasonal|varies by location|all|recurring|Varies - check details||||
as20|Toronto Ultimate Frisbee League|Ultimate frisbee leagues with recreational and competitive divisions|https://source.unsplash.com/random/?ultimate,frisbee|Multiple parks across Toronto|sports|All levels|2025-06-01|2025-08-31|2025-05-15|12 weeks|Recreational and competitive divisions, spirit of the game emphasis|Summer League: $100-150/person, Beginner Clinic: $40|www.tuf.org|20-30 minutes|https://www.google.com/maps/search/?api=1&query=TUF%20Locations|true|Ultimate Frisbee,League,Recreation,Competitive|2025-05-28T20:00:00-04:00|ultimate frisbee|{}|true|seasonal|outdoor field|all|recurring|Varies - check details||||
as21|Toronto Boxing Academy|Boxing training programs and classes|https://source.unsplash.com/random/?boxing,training|123 Boxing Lane, Toronto|sports|All levels|2025-01-01|2025-12-31|Check website|Flexible membership|Daily training sessions, fitness and technique classes, youth programs|$80/month|www.torontoboxing.ca|15 minutes from downtown|https://www.google.com/maps/search/?api=1&query=Toronto%20Boxing%20Academy|true|Boxing,Training,Fitness,Youth|2025-05-28T20:00:00-04:00|boxing|{}|true|weekly|wheelchair accessible|all|recurring|Varies - check details||||
as22|GTA Martial Arts Collective|Multi-discipline martial arts training|https://source.unsplash.com/random/?martialarts|Multiple locations|sports|All levels|2025-01-01|2025-12-31|Monthly membership|Varies by program|Multiple disciplines (Karate, Judo, BJJ), beginner to advanced classes|$120/month|www.gtamartialarts.ca|Varies by location|https://www.google.com/maps/search/?api=1&query=GTA%20Martial%20Arts%20Locations|true|Martial Arts,Training,Multiple Disciplines|2025-05-28T20:00:00-04:00|martial arts|{}|true|weekly|varies by location|all|recurring|Varies - check details||||
as23|Toronto Rock Climbing Community|Indoor climbing and bouldering|https://source.unsplash.com/random/?climbing,indoor|Multiple locations (Joe Rockheads, Rock Oasis, True North)|sports|All levels|2025-01-01|2025-12-31|Not required|Flexible membership|Indoor climbing, bouldering, monthly skill workshops|Day Pass: $20-25, Monthly: $75-90|www.climbto.com|10-20 minutes|https://www.google.com/maps/search/?api=1&query=Climbing%20Locations|true|Climbing,Indoor,Workshops,Equipment Rental|2025-05-28T20:00:00-04:00|climbing|{}|true|weekly|wheelchair accessible|all|recurring|Varies - check details||||
as24|Toronto Badminton Club|Daily drop-in sessions and league play|https://source.unsplash.com/random/?badminton,indoor|Multiple indoor locations|sports|All levels|2025-01-01|2025-12-31|Not required|Flexible membership|Drop-in sessions daily, league play, coaching programs|Drop-in: $15/session, Monthly: $100|www.torontobadminton.ca|15-25 minutes|https://www.google.com/maps/search/?api=1&query=Badminton%20Locations|true|Badminton,Drop-in,League,Coaching|2025-05-28T20:00:00-04:00|badminton|{}|true|weekly|wheelchair accessible|all|recurring|Daily||||
as25|Squash Toronto Network|Squash facilities network and community|https://source.unsplash.com/random/?squash|10+ facilities across Toronto|sports|All levels|2025-01-01|2025-12-31|Monthly membership|Flexible scheduling|Access to facilities, ladder system, professional instruction|$75/month including court booking|www.squashto.ca|Varies by location|https://www.google.com/maps/search/?api=1&query=Toronto%20Squash%20Facilities|true|Squash,Courts,Instruction,Tournament|2025-05-28T20:00:00-04:00|squash|{}|true|weekly|wheelchair accessible|all|recurring|Varies - check details||||
as26|High Park Running Group|Community running group with professional coaching|https://source.unsplash.com/random/?running,park|High Park main entrance|sports|All levels|2025-01-01|2025-12-31|Not required|60-90 minutes per session|Group runs, professional coaching, monthly time trials|Free|www.highparkrunners.ca|20-30 minutes from downtown|https://www.google.com/maps/search/?api=1&query=High%20Park|true|Running,Group,Coaching,Free|2025-05-28T20:00:00-04:00|running|{}|true|weekly|outdoor access|all|recurring|Varies - check details||||
as27|Toronto Dragon Boat Club|Dragon boat racing and training|https://source.unsplash.com/random/?dragonboat|Toronto Harbour|sports|All levels|2025-05-01|2025-09-30|2025-04-15|2-3 hours per session|Practice sessions, racing team opportunities, beginner training|$300/season|www.torontodragonboat.ca|15-20 minutes from downtown|https://www.google.com/maps/search/?api=1&query=Toronto%20Harbour|true|Dragon Boat,Racing,Training,Water Sports|2025-05-28T20:00:00-04:00|dragon boat|{}|true|seasonal|water access|all|recurring|Varies - check details||||
as28|Toronto Sailing Club|Sailing lessons and social sailing|https://source.unsplash.com/random/?sailing|Toronto Islands|sports|All levels|2025-05-01|2025-10-31|2025-04-01|Varies by program|Beginner lessons, equipment rental, social sailing events|$400/season|www.torontosailing.ca|20-30 minutes from downtown|https://www.google.com/maps/search/?api=1&query=Toronto%20Islands|true|Sailing,Lessons,Social,Water Sports|2025-05-28T20:00:00-04:00|sailing|{}|true|seasonal|water access|all|recurring|Varies - check details||||
as29|Toronto Winter Sports Club|Skiing and snowboarding groups|https://source.unsplash.com/random/?skiing|Various ski resorts|sports|All levels|2025-12-01|2026-03-31|Varies by trip|Full day trips|Day trips to nearby resorts, equipment rental, lessons|$80-120 per trip|www.torontowsc.ca|Varies by resort|https://www.google.com/maps/search/?api=1&query=Various%20Ski%20Resorts|true|Skiing,Snowboarding,Lessons,Winter|2025-05-28T20:00:00-04:00|winter sports|{}|true|seasonal|varies by resort|all|recurring|Varies - check details||||
as30|City Tennis Network|Public tennis court network|https://source.unsplash.com/random/?tennis|30+ public courts across Toronto|sports|All levels|2025-04-01|2025-10-31|Annual membership|Flexible scheduling|Access to courts, organized matches, equipment lending|Free court time, membership $50/year|www.citytennis.ca|Varies by location|https://www.google.com/maps/search/?api=1&query=Toronto%20Tennis%20Courts|true|Tennis,Public,Courts,Equipment|2025-05-28T20:00:00-04:00|tennis|{}|true|weekly|outdoor courts|all|recurring|Varies - check details||||
as31|Youth Sports Programs|After-school and summer sports programs|https://source.unsplash.com/random/?youth,sports|Multiple community centers|sports|Beginner|2025-01-01|2025-12-31|Seasonal registration|Varies by program|After-school sports, summer camps, skill development|Varies (Subsidies available)|www.toronto.ca/recreation|Varies by location|https://www.google.com/maps/search/?api=1&query=Toronto%20Community%20Centers|true|Youth,Sports,Camps,Development|2025-05-28T20:00:00-04:00|youth sports|{}|true|seasonal|wheelchair accessible|all|recurring|Varies - check details||||
as32|Senior Active Living|Sports and fitness programs for seniors|https://source.unsplash.com/random/?senior,fitness|Community center locations|sports|All levels|2025-01-01|2025-12-31|Check website|60-90 minutes per session|Walking groups, gentle fitness classes, social sports|Reduced rates available|www.toronto.ca/recreation|Varies by location|https://www.google.com/maps/search/?api=1&query=Toronto%20Community%20Centers|true|Senior,Fitness,Social,Low Impact|2025-05-28T20:00:00-04:00|senior sports|{}|true|weekly|wheelchair accessible|all|recurring|Varies - check details||||
as33|Wheelchair Basketball Toronto|Adaptive basketball program|https://source.unsplash.com/random/?wheelchair,basketball|Multiple accessible facilities|sports|All levels|2025-01-01|2025-12-31|Seasonal registration|90 minutes per session|Wheelchair basketball with professional instruction|Program fees vary|www.adaptivesportsto.ca|Varies by location|https://www.google.com/maps/search/?api=1&query=Accessible%20Sports%20Facilities|true|Wheelchair Basketball,Adaptive,Inclusive|2025-05-28T20:00:00-04:00|adaptive sports|{}|true|weekly|fully accessible|all|recurring|Varies - check details||||
as34|Para-Athletics Program|Inclusive athletics training program|https://source.unsplash.com/random/?paraathletics|Various accessible locations|sports|All levels|2025-01-01|2025-12-31|Quarterly registration|Varies by program|Para-athletics programs, inclusive fitness classes|Program fees vary|www.adaptivesportsto.ca|Varies by location|https://www.google.com/maps/search/?api=1&query=Accessible%20Sports%20Facilities|true|Para-Athletics,Adaptive,Inclusive,Training|2025-05-28T20:00:00-04:00|adaptive sports|{}|true|weekly|fully accessible|all|recurring|Varies - check details||||
as35|Pink Turf Soccer League|LGBTQ+ friendly soccer league for women and gender diverse individuals|https://source.unsplash.com/random/?soccer,lgbtq|Various locations|sports|All levels|2025-06-01|2025-09-30|Check website|Varies by league/game|LGBTQ+ friendly soccer league for women and gender diverse individuals|Registration fees apply|https://www.torontospartan.com|In-town (Varies by location)||true|Soccer,LGBTQ+,League,Women,Gender Diverse|2025-05-28T20:00:00-04:00|soccer|{}|true|seasonal|varies by location|all|recurring|Varies - check details||||
as36|Toronto Gay Basketball Association|Basketball league for all genders and orientations|https://source.unsplash.com/random/?basketball,lgbtq|Various locations|sports|All levels|2025-09-01|2026-04-30|Check website|Varies by game|Basketball league for all genders and orientations, including allies|Registration fees apply|https://www.yohomo.ca|In-town (Varies by location)||true|Basketball,LGBTQ+,League,Inclusive|2025-05-28T20:00:00-04:00|basketball|{}|true|seasonal|varies by location|all|recurring|Varies - check details||||
as038|Outslopes Toronto|LGBTQ+ ski and snowboard club. Organizes local skiing/snowboarding days and trips.| |Various ski resorts near Toronto (e.g., Blue Mountain, Mount St. Louis Moonstone)|sports|All levels|Typically December to March (check for off-season social events)| |Check website|Per event/season|Skiing and snowboarding meetups, lessons, social gatherings.|Varies (membership, lift tickets)|https://outslopes.org/chapters/toronto/|1.5-2.5 hrs|https://www.google.com/maps/search/?api=1&query=%20|true|skiing,snowboarding,lgbtq sports,club,winter sports|2025-05-30T17:32:13-04:00|winter sports|{}|true|seasonal|varies by resort|all|recurring|Varies - check details||||
as039|Toronto Rainbow Reef Rangers|LGBTQ+ and allies scuba diving club.| |Local dive sites, pool training, and dive trips.|sports|All levels (training available)|Year-round activities| |Check website|Varies per event|Scuba diving training, local dives, international trips, social events.|Varies (membership, course fees, trip costs)|https://www.rainbowreefrangers.com/|Varies|https://www.google.com/maps/search/?api=1&query=%20|true|scuba diving,lgbtq sports,club,adventure,toronto|2025-05-30T17:32:13-04:00|scuba diving|{}|true|monthly|varies by location|all|recurring|Varies - check details||||
as040|Downtown Swim Club Toronto (DST)|Masters swim club for the LGBTQ+ community and allies.| |University of Toronto Athletic Centre Pool & Ryerson University's Kerr Hall West Pool|sports|Various (lanes for different skill levels)|Year-round| |Check website|Ongoing|Structured swim practices, coaching, social events.|Varies (membership fees)|https://www.dstswim.ca/|Approx 10-20 mins|https://goo.gl/maps/exampleDSTPool|true|swimming,lgbtq sports,club,masters swimming,toronto|2025-05-30T17:32:13-04:00|swimming|{}|true|weekly|wheelchair accessible|all|recurring|Varies - check details||||
as041|Muddy York RFC|Toronto's inclusive rugby club, welcoming players of all sexual orientations and gender identities.| |Practice at various fields (e.g., Eglinton Flats); games across Ontario.|sports|All levels (development program available)|Typically May to September (indoor training in off-season)| |Check website|Season-long|Rugby practices, games, tournaments, and social events.|Varies (membership fees)|https://www.muddyyork.ca/|Varies by field|https://www.google.com/maps/search/?api=1&query=%20|true|rugby,lgbtq sports,club,team,toronto|2025-05-30T17:32:13-04:00|rugby|{}|true|seasonal|outdoor field|all|recurring|Varies - check details||||
as042|Frontrunners Toronto|LGBTQ+ running club offering runs for all levels.| |Various locations in Toronto (e.g., The 519, High Park)|sports|All levels|Year-round| |N/A (drop-in)|1-2 hours per run|Weekly group runs (various distances and paces), social events.|Free (optional club membership for perks)|https://www.frontrunnerstoronto.ca/|Varies by run start location|https://www.google.com/maps/search/?api=1&query=%20|true|running,lgbtq sports,club,fitness,toronto|2025-05-30T17:32:13-04:00|running|{}|true|weekly|outdoor access|all|recurring|Varies - check details||||
as043|Rainbow Hoops Crossover|LGBTQ+ recreational basketball league in Toronto.| |Various gyms in Toronto|sports|Recreational/All levels|Seasonal (check website for current season)| |Check website|Season-long|Weekly basketball games, playoffs, social events.|Varies (see website)|https://www.rainbowhoops.com/ (or search for current iteration)|Varies by gym|https://www.google.com/maps/search/?api=1&query=%20|true|basketball,lgbtq sports,league,toronto|2025-05-30T17:32:13-04:00|basketball|{}|true|seasonal|wheelchair accessible|all|recurring|Varies - check details||||
as044|Toronto Triggerfish Water Polo|LGBTQ+ inclusive water polo club.| |University of Toronto Athletic Centre Pool & other pools|sports|All levels (learn-to-play programs available)|Year-round| |Check website|Ongoing|Water polo practices, games, and tournaments. Social events.|Varies (membership fees)|https://www.triggerfishwaterpolo.ca/|Approx 10-20 mins|https://goo.gl/maps/exampleTriggerfishPool|true|water polo,lgbtq sports,club,aquatics,toronto|2025-05-30T17:32:13-04:00|water polo|{}|true|weekly|wheelchair accessible|all|recurring|Varies - check details||||
as045|NotsoAmazon Softball League (NASL)|Recreational slow-pitch league primarily for lesbians, but inclusive of all LGBTQ+ individuals and allies.| |Sunnybrook Park, other parks in Toronto|sports|Recreational/All levels|Typically May to August/September| |Check website (usually early Spring)|Season-long|Weekly slow-pitch softball games, playoffs, social events.|Varies (see website)|https://www.nasl.ca/|Approx 20-30 mins to Sunnybrook Park|https://www.google.com/maps/search/?api=1&query=%20|true|softball,lgbtq sports,league,lesbian,toronto|2025-05-30T17:32:13-04:00|softball|{}|true|seasonal|outdoor field|all|recurring|Varies - check details||||
as046|Triangle Badminton Club Toronto|LGBTQ+ friendly badminton club.| |Various community centres and gyms in Toronto|sports|All levels|Year-round (check for specific session times)| |Drop-in or session registration (check website)|Varies per session|Casual and organized badminton play, social atmosphere.|Drop-in fee or session fee|https://trianglebadmintonclub.wordpress.com/ (or search for current active group)|Varies by location|https://www.google.com/maps/search/?api=1&query=%20|true|badminton,lgbtq sports,club,social,toronto|2025-05-30T17:32:13-04:00|badminton|{}|true|weekly|wheelchair accessible|all|recurring|Varies - check details||||
as047|Toronto LGBTQ+ Kickball|Casual, social kickball games for the LGBTQ+ community and allies.| |Various parks in Toronto (e.g., Trinity Bellwoods Park, Withrow Park)|sports|All levels|Seasonal (Spring/Summer/Fall, weather permitting)| |Often informal/RSVP via social groups|~2 hours per game|Fun, non-competitive kickball games, social interaction.|Free or small fee to cover equipment| (Often organized via Meetup or Facebook groups - search "Toronto LGBTQ Kickball")|Varies by park|https://www.google.com/maps/search/?api=1&query=%20|true|kickball,lgbtq sports,social,pickup,toronto|2025-05-30T17:32:13-04:00|kickball|{}|true|monthly|outdoor field|all|recurring|Varies - check details||||
as048|Queer South Asian Women's Network (QSAW) Sports Meetups|Occasional sports and recreational activities for queer South Asian women and non-binary individuals.| |Various locations in Toronto|sports|All levels|Check social media for events| |RSVP if required|Varies per event|Activities like hiking, bowling, or other casual sports.|Varies (often free or low cost)| (Search QSAW Toronto on social media)|Varies|https://www.google.com/maps/search/?api=1&query=%20|true|south asian,lgbtq sports,social,networking,women,toronto|2025-05-30T17:32:13-04:00|multi-sport|{}|true|monthly|varies by location|all|recurring|Varies - check details||||
as049|Lesbian Outdoor Group (LOG)|Organizes outdoor activities for lesbians and queer women, including hiking, camping, and sometimes sports.| |Various locations in and around Toronto|sports|All levels|Year-round, activity dependent| |RSVP for events|Varies per event|Hiking, camping, kayaking, cycling, and other outdoor pursuits.|Varies (membership, event fees)|https://www.log.on.ca/ (or search for current active group)|Varies|https://www.google.com/maps/search/?api=1&query=%20|true|hiking,outdoors,lgbtq sports,social,lesbian,women,toronto|2025-05-30T17:32:13-04:00|outdoor sports|{}|true|monthly|varies by location|all|recurring|Varies - check details||||
as050|Toronto Gay Curling League (TGCL)|LGBTQ+ curling league in Toronto.| |Various curling clubs in Toronto (e.g., Royal Canadian Curling Club)|sports|All levels (instruction available)|Typically October to April| |Check website (usually late summer/early fall)|Season-long|Weekly curling games, bonspiels (tournaments), social events.|Varies (see website)|https://tgcl.ca/|Varies by club|https://www.google.com/maps/search/?api=1&query=%20|true|curling,lgbtq sports,league,winter sports,toronto|2025-05-30T17:32:13-04:00|curling|{}|true|seasonal|wheelchair accessible|all|recurring|Varies - check details||||
as051|Toronto Dodgeball League - LGBTQ+ Division/Teams|Some general dodgeball leagues in Toronto may have specific LGBTQ+ friendly teams or divisions, or are generally inclusive.| |Various gyms in Toronto|sports|All levels|Seasonal (check specific leagues like Toronto Dodgeball or XTSC)| |Check league websites|Season-long|Dodgeball games and social events.|Varies per league| (Search "Toronto Dodgeball League" or "XTSC Sports" and inquire)|Varies by gym|https://www.google.com/maps/search/?api=1&query=%20|true|dodgeball,lgbtq sports,league,team,toronto|2025-05-30T17:32:13-04:00|dodgeball|{}|true|seasonal|wheelchair accessible|all|recurring|Varies - check details||||
as052|Toronto Queer Bike Rides / Cycling Groups|Informal groups organizing bike rides for the LGBTQ+ community.| |Various routes starting in Toronto|sports|All levels|Seasonal (Spring to Fall)| |Informal/RSVP via social groups|Varies per ride|Casual group bike rides, exploring city and trails, social focus.|Free| (Search "Toronto Queer Bike Ride" or "LGBTQ Cycling Toronto" on Facebook, Meetup)|Varies|https://www.google.com/maps/search/?api=1&query=%20|true|cycling,biking,lgbtq sports,social,toronto|2025-05-30T17:32:13-04:00|cycling|{}|true|monthly|outdoor access|all|recurring|Varies - check details||||
as053|Out and Out Toronto|Toronto's LGBTQ+ club for outdoor activities, including hiking, cycling, skiing, canoeing, and more.| |Various locations in and around Toronto|sports|All levels|Year-round| |Membership and event RSVP|Varies per activity|Wide range of outdoor activities and social events.|Membership fee + activity costs (if any)|https://www.outandouttoronto.org/|Varies|https://www.google.com/maps/search/?api=1&query=%20|true|outdoors,hiking,cycling,skiing,canoeing,lgbtq sports,social,toronto|2025-05-30T17:32:13-04:00|outdoor sports|{}|true|monthly|varies by location|all|recurring|Varies - check details||||
as053|The 519 Community Centre Sports Programs|The 519 often hosts or supports various LGBTQ+ sports and recreation programs. Check their current offerings.| |The 519 (519 Church St, Toronto) and other locations|sports|Varies|Check website| |Check website|Varies|Drop-in sports, registered programs, workshops.|Varies (many are free or low-cost)|https://www.the519.org/programs/categories/sports-recreation|Approx 0 mins (if starting at The 519)|https://goo.gl/maps/519ChurchSt|true|community,lgbtq sports,drop-in,recreation,toronto|2025-05-30T17:32:13-04:00|multi-sport|{}|true|weekly|wheelchair accessible|all|recurring|Varies - check details||||
