id|title|description|image|location|type|skillLevel|startDate|endDate|registrationDeadline|duration|activityDetails|cost|website|travelTime|googleMapLink|lgbtqFriendly|tags|lastUpdated
as11|Toronto Outdoor Fitness|Boot camp style workouts, running, and circuit training in various park locations. Year-round programs with professional instructors. $15/class or $100/month membership.|https://source.unsplash.com/random/?bootcamp|Various Parks|Fitness|All levels|2025-01-01|2025-12-31|Drop-in|Ongoing|Mon/Wed/Fri 6AM & 6PM, Sat/Sun 8AM|$15/class, $100/month|www.torontooutdoorfitness.com|Varies by park|Multiple locations|Yes|Bootcamp,Outdoors,Circuit Training,Professional Training,Year-round|2025-12-15T00:00:00Z
as12|Adaptive Sports Toronto|Comprehensive adaptive sports program including wheelchair basketball, para-athletics, and inclusive fitness classes. Professional instruction and specialized equipment available.|https://source.unsplash.com/random/?adaptive,sports|Various Locations|Adaptive Sports|All levels|2025-01-01|2025-12-31|Registration required|Season-long|Basketball: Sundays 2PM, Athletics: Wednesdays 6PM, Fitness: Daily|Subsidized rates available|www.adaptivesports.ca|Varies by location|Multiple locations|Yes|Wheelchair Basketball,Para-athletics,Inclusive,Specialized Equipment,Professional Instruction|2025-12-15T00:00:00Z
as13|Youth Sports Program|After-school sports programs and summer camps for ages 8-16. Focuses on beginner skill development across multiple sports. Subsidies available for eligible participants.|https://source.unsplash.com/random/?youth,sports|Multiple Locations|Youth Sports|Beginner|2025-01-01|2025-12-31|Registration required|Ongoing|After-school: 3:30-5:30PM weekdays, Summer camps: 9AM-4PM|$50-100/week|www.torontoyouthsports.com|Varies by location|Multiple locations|Yes|Youth,Multi-sport,After School,Summer Camp,Subsidized,Development|2025-12-15T00:00:00Z
as14|Senior Active Living|Organized walking groups, gentle fitness classes, and social sports activities designed for seniors. Located at community centers with reduced rates available.|https://source.unsplash.com/random/?senior,fitness|Community Centers|Senior Sports|All levels|2025-01-01|2025-12-31|Registration required|Ongoing|Walking groups: Tuesdays/Thursdays 10AM, Fitness: Mon/Wed/Fri 11AM|$10-20/class|www.senioractiveliving.com|Varies by center|Multiple locations|Yes|Seniors,Walking,Gentle Fitness,Social,Low Impact,Affordable|2025-12-15T00:00:00Z
as15|Toronto Ultimate Frisbee League|Join the ultimate frisbee community with recreational and competitive divisions. Offering spring, summer, and fall leagues plus indoor winter options. Spirit of the game emphasized with beginner clinics available.|https://source.unsplash.com/random/?ultimate,frisbee|Multiple parks across Toronto|Ultimate Frisbee|All levels|2025-03-01|2025-12-31|Seasonal registration|Season-long|Spring/Summer/Fall: Sun/Tue 6:30PM, Winter: Saturdays 7PM indoor|$80-120/season|www.torontoultimate.com|Varies by park|Multiple locations|Yes|Ultimate Frisbee,Leagues,Seasonal,Indoor,Outdoor,Spirit of the Game,Clinics|2025-12-15T00:00:00Z
as16|Toronto Basketball Network|Year-round pickup games and organized leagues featuring both 3-on-3 and 5-on-5 formats. Weekly skills development sessions with equipment provided. Perfect for all skill levels.|https://source.unsplash.com/random/?basketball,court|Community Centers|Basketball|All levels|2025-01-01|2025-12-31|Drop-in|Ongoing|Pickup: Daily 6-9PM, Leagues: Mon/Wed 7PM, Skills: Saturdays 2PM|$10-15/session, $100/season|www.torontobasketball.com|Varies by center|Multiple locations|Yes|Basketball,Pickup Games,Leagues,Skills Development,Equipment Provided,Indoor|2025-12-15T00:00:00Z
as17|Toronto Badminton Club|Daily drop-in sessions and organized league play at multiple indoor locations. Featuring coaching programs and equipment rental. Perfect for all skill levels with flexible scheduling.|https://source.unsplash.com/random/?badminton|Multiple Indoor Locations|Badminton|All levels|2025-01-01|2025-12-31|Drop-in|Ongoing|Drop-in: Daily 6-10PM, Leagues: Tuesdays/Thursdays 7PM|$12-18/session, $80-120/season|www.torontobadminton.com|Varies by location|Multiple locations|Yes|Badminton,Indoor,Drop-in,Coaching,Equipment Rental,League Play|2025-12-15T00:00:00Z
as18|Squash Toronto Network|Access to 10+ facilities with ladder system for player matching. Professional instruction and monthly tournaments available. Membership includes court booking.|https://source.unsplash.com/random/?squash|Multiple Facilities|Squash|All levels|2025-01-01|2025-12-31|Membership required|Ongoing|Court times: 6AM-11PM daily, Tournaments: First Saturday each month|$200-300/year membership|www.squashontario.com|Varies by facility|Multiple locations|Yes|Squash,Indoor,Tournaments,Professional Instruction,Court Booking,Ladder System|2025-12-15T00:00:00Z
as19|Toronto Boxing Academy|Recreational and competitive boxing programs with daily training sessions. Equipment provided and no experience required. Includes fitness and technique classes plus youth programs.|https://source.unsplash.com/random/?boxing|Toronto Boxing Academy|Boxing|All levels|2025-01-01|2025-12-31|Registration required|Ongoing|Classes: Mon-Fri 6AM & 6PM, Sat 10AM, Youth: Wed/Fri 4PM|$120-180/month|www.torontoboxing.com|~20-30 minutes|https://goo.gl/maps/boxing|Yes|Boxing,Training,Equipment Provided,Fitness,Technique,Youth Programs|2025-12-15T00:00:00Z
as20|GTA Martial Arts Collective|Multiple martial arts disciplines including Karate, Judo, and BJJ. Offering beginner to advanced classes, family programs, and monthly seminars. Free trial class available.|https://source.unsplash.com/random/?martial,arts|Multiple Locations|Martial Arts|All levels|2025-01-01|2025-12-31|Registration required|Ongoing|Classes: Mon-Fri 6-8PM, Sat 9AM-12PM, Family: Sundays 2PM|$100-150/month, $25/drop-in|www.gtamartialarts.com|Varies by location|Multiple locations|Yes|Martial Arts,Multiple Disciplines,Family Programs,Seminars,Free Trial,Training|2025-12-15T00:00:00Z 
