id,title,description,image,location,type,startDate,endDate,registrationDeadline,duration,activityDetails,cost,website,travelTime,googleMapLink,lgbtqFriendly,tags,lastUpdated,category,eventType,neighborhood,season,priceRange,source
12,Graffiti Alley Tour,Discover Toronto's street art scene in this kilometer-long alley featuring colorful murals and urban art.,https://source.unsplash.com/random/?Graffiti%20Alley%20Tour,134,8,2025-01-01,2025-12-31,,varies,Discover Toronto's street art scene in this kilometer-long alley featuring colorful murals and urban art.,1,https://www.toronto.ca/explore-enjoy/history-art-culture/street-art/,,,false,"art,culture,walking,photography,free",2025-05-28T14:52:12.941Z,8,activity,Queen West,year-round,varies,activity
13,Casa Loma Castle,"Explore Toronto's majestic castle featuring Gothic Revival architecture, beautiful gardens, and seasonal events.",https://source.unsplash.com/random/?Casa%20Loma%20Castle,92,1,2025-01-01,2025-12-31,,varies,"Explore Toronto's majestic castle featuring Gothic Revival architecture, beautiful gardens, and seasonal events.",2,https://casaloma.ca,,,false,"history,architecture,garden,family-friendly",2025-05-28T14:52:12.941Z,1,activity,Casa Loma,year-round,varies,activity
14,Toronto Harbourfront Centre,"Visit this cultural hub offering year-round programming including festivals, exhibitions, and performances.",https://source.unsplash.com/random/?Toronto%20Harbourfront%20Centre,142,1,2025-01-01,2025-12-31,,varies,"Visit this cultural hub offering year-round programming including festivals, exhibitions, and performances.",1,https://www.harbourfrontcentre.com,,,false,"culture,events,waterfront,free",2025-05-28T14:52:12.941Z,1,activity,Harbourfront,year-round,varies,activity
15,Rogers Centre Baseball Game,Watch the Toronto Blue Jays play in this iconic stadium with a retractable roof.,https://source.unsplash.com/random/?Rogers%20Centre%20Baseball%20Game,164,5,2025-04-01,2025-09-30,,varies,Watch the Toronto Blue Jays play in this iconic stadium with a retractable roof.,6,https://www.mlb.com/bluejays,,,false,"sports,entertainment,family-friendly",2025-05-28T14:52:12.941Z,5,activity,Entertainment District,year-round,varies,activity
16,Allan Gardens Conservatory,Explore this historic botanical garden featuring six greenhouses with tropical plants and seasonal flower shows.,https://source.unsplash.com/random/?Allan%20Gardens%20Conservatory,127,3,2025-01-01,2025-12-31,,varies,Explore this historic botanical garden featuring six greenhouses with tropical plants and seasonal flower shows.,1,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/gardens-and-horticulture/conservatories/allan-gardens-conservatory/,,,false,"nature,garden,indoor,free",2025-05-28T14:52:12.941Z,3,activity,Garden District,year-round,varies,activity
17,Scotiabank Arena Event,"Catch a Maple Leafs hockey game, Raptors basketball game, or major concert at Toronto's premier sports and entertainment venue.",https://source.unsplash.com/random/?Scotiabank%20Arena%20Event,165,4,2025-01-01,2025-12-31,,varies,"Catch a Maple Leafs hockey game, Raptors basketball game, or major concert at Toronto's premier sports and entertainment venue.",3,https://www.scotiabankarena.com,,,false,"sports,entertainment,indoor",2025-05-28T14:52:12.941Z,4,activity,Entertainment District,year-round,varies,activity
18,Toronto Botanical Garden,Discover 17 themed gardens spanning nearly four acres with free admission and guided tours available.,https://source.unsplash.com/random/?Toronto%20Botanical%20Garden,121,3,2025-04-01,2025-10-31,,varies,Discover 17 themed gardens spanning nearly four acres with free admission and guided tours available.,1,https://torontobotanicalgarden.ca,,,false,"nature,garden,outdoor,free",2025-05-28T14:52:12.941Z,3,activity,North York,year-round,varies,activity
19,The Second City Comedy Show,Experience live improv and sketch comedy at this legendary comedy club that launched many famous careers.,https://source.unsplash.com/random/?The%20Second%20City%20Comedy%20Show,96,4,2025-01-01,2025-12-31,,varies,Experience live improv and sketch comedy at this legendary comedy club that launched many famous careers.,5,https://www.secondcity.com/toronto,,,false,"comedy,entertainment,nightlife",2025-05-28T14:52:12.941Z,4,activity,Entertainment District,year-round,varies,activity
20,Bata Shoe Museum,Explore the world's largest collection of shoes and footwear-related artifacts in this unique museum.,https://source.unsplash.com/random/?Bata%20Shoe%20Museum,166,1,2025-01-01,2025-12-31,,varies,Explore the world's largest collection of shoes and footwear-related artifacts in this unique museum.,2,https://batashoemuseum.ca,,,false,"museum,fashion,unique,indoor",2025-05-28T14:52:12.941Z,1,activity,Yorkville,year-round,varies,activity
21,Old Montreal Walking Tour,"Discover the historic heart of Montreal with its cobblestone streets, historic architecture, and charming cafes.",https://source.unsplash.com/random/?Old%20Montreal%20Walking%20Tour,201,8,2025-01-01,2025-12-31,,varies,"Discover the historic heart of Montreal with its cobblestone streets, historic architecture, and charming cafes.",5,https://www.vieuxmontreal.ca,,,false,"history,walking,guided-tour",2025-05-28T14:52:12.941Z,8,activity,Old Montreal,year-round,varies,activity
22,Mount Royal Park Exploration,Hike to the summit of Montreal's iconic mountain for panoramic city views and explore its vast green spaces.,https://source.unsplash.com/random/?Mount%20Royal%20Park%20Exploration,202,3,2025-01-01,2025-12-31,,varies,Hike to the summit of Montreal's iconic mountain for panoramic city views and explore its vast green spaces.,1,https://www.lemontroyal.qc.ca,,,false,"outdoor,hiking,photography,free",2025-05-28T14:52:12.941Z,3,activity,Montreal,year-round,varies,activity
23,Montreal Museum of Fine Arts,Visit Canada's oldest art museum featuring an extensive collection of international and Canadian art.,https://source.unsplash.com/random/?Montreal%20Museum%20of%20Fine%20Arts,203,1,2025-01-01,2025-12-31,,varies,Visit Canada's oldest art museum featuring an extensive collection of international and Canadian art.,2,https://www.mbam.qc.ca,,,false,"art,culture,indoor,rainy-day",2025-05-28T14:52:12.941Z,1,activity,Montreal,year-round,varies,activity
24,Jean-Talon Market Visit,"Experience one of North America's largest open-air markets with local produce, flowers, and specialty foods.",https://source.unsplash.com/random/?Jean-Talon%20Market%20Visit,204,2,2025-01-01,2025-12-31,,varies,"Experience one of North America's largest open-air markets with local produce, flowers, and specialty foods.",1,https://www.marchespublics-mtl.com/en/marches/jean-talon-market/,,,false,"food,shopping,outdoor,local",2025-05-28T14:52:12.941Z,2,activity,Montreal,year-round,varies,activity
25,Gay Village Exploration,"Explore Montreal's vibrant LGBTQ+ neighborhood known for its restaurants, bars, and summer pedestrian street.",https://source.unsplash.com/random/?Gay%20Village%20Exploration,205,7,2025-05-01,2025-09-30,,varies,"Explore Montreal's vibrant LGBTQ+ neighborhood known for its restaurants, bars, and summer pedestrian street.",1,https://www.mtl.org/en/what-to-do/heritage-and-architecture/village-montreal,,,false,"nightlife,culture,walking,gay-friendly",2025-05-28T14:52:12.941Z,7,activity,Montreal,year-round,varies,activity
26,Notre-Dame Basilica Tour,Marvel at the stunning Gothic Revival architecture and intricate interior of this historic basilica.,https://source.unsplash.com/random/?Notre-Dame%20Basilica%20Tour,206,1,2025-01-01,2025-12-31,,varies,Marvel at the stunning Gothic Revival architecture and intricate interior of this historic basilica.,2,https://www.basiliquenotredame.ca/en,,,false,"architecture,history,indoor,guided-tour",2025-05-28T14:52:12.941Z,1,activity,Montreal,year-round,varies,activity
27,Plateau Mont-Royal Food Tour,Discover Montreal's culinary scene through its most creative neighborhood's restaurants and cafes.,https://source.unsplash.com/random/?Plateau%20Mont-Royal%20Food%20Tour,207,2,2025-01-01,2025-12-31,,varies,Discover Montreal's culinary scene through its most creative neighborhood's restaurants and cafes.,6,https://www.mtl.org/en/what-to-do/heritage-and-architecture/plateau-mont-royal-montreal,,,false,"food,walking,culture,guided-tour",2025-05-28T14:52:12.941Z,2,activity,Plateau Mont-Royal,year-round,varies,activity
28,Montreal Botanical Garden,"Explore 75 hectares of themed gardens, including the stunning Chinese and Japanese gardens.",https://source.unsplash.com/random/?Montreal%20Botanical%20Garden,208,3,2025-04-01,2025-10-31,,varies,"Explore 75 hectares of themed gardens, including the stunning Chinese and Japanese gardens.",2,https://espacepourlavie.ca/en/botanical-garden,,,false,"nature,garden,outdoor,family-friendly",2025-05-28T14:52:12.941Z,3,activity,Montreal,year-round,varies,activity
29,Biodome Experience,Journey through replicas of four ecosystems found in the Americas with diverse wildlife and plant species.,https://source.unsplash.com/random/?Biodome%20Experience,209,1,2025-01-01,2025-12-31,,varies,Journey through replicas of four ecosystems found in the Americas with diverse wildlife and plant species.,2,https://espacepourlavie.ca/en/biodome,,,false,"nature,science,indoor,family-friendly",2025-05-28T14:52:12.941Z,1,activity,Montreal,year-round,varies,activity
30,Mile End Food & Art Tour,"Experience Montreal's hippest neighborhood known for iconic bagel shops, cafes, and artist studios.",https://source.unsplash.com/random/?Mile%20End%20Food%20%26%20Art%20Tour,210,8,2025-01-01,2025-12-31,,varies,"Experience Montreal's hippest neighborhood known for iconic bagel shops, cafes, and artist studios.",6,https://www.mtl.org/en/what-to-do/heritage-and-architecture/mile-end-montreal,,,false,"food,art,walking,culture",2025-05-28T14:52:12.941Z,8,activity,Mile End,year-round,varies,activity
31,Ripley's Aquarium of Canada,"Immerse yourself in underwater galleries featuring over 20,000 aquatic animals and interactive exhibits.",https://source.unsplash.com/random/?Ripley's%20Aquarium%20of%20Canada,167,1,2025-01-01,2025-12-31,,varies,"Immerse yourself in underwater galleries featuring over 20,000 aquatic animals and interactive exhibits.",2,https://www.ripleyaquariums.com/canada,,,false,"aquarium,indoor,family-friendly",2025-05-28T14:52:12.941Z,1,activity,Entertainment District,year-round,varies,activity
32,Toronto Jazz Festival,Experience world-class jazz performances across various venues in the heart of downtown Toronto.,https://source.unsplash.com/random/?Toronto%20Jazz%20Festival,168,4,2025-06-20,2025-06-29,,varies,Experience world-class jazz performances across various venues in the heart of downtown Toronto.,4,https://torontojazz.com,,,false,"music,entertainment,culture,seasonal",2025-05-28T14:52:12.941Z,4,activity,Downtown Toronto,year-round,varies,activity
33,Evergreen Brick Works,"Visit this former quarry turned environmental center featuring farmers' markets, hiking trails, and sustainable initiatives.",https://source.unsplash.com/random/?Evergreen%20Brick%20Works,169,3,2025-01-01,2025-12-31,,varies,"Visit this former quarry turned environmental center featuring farmers' markets, hiking trails, and sustainable initiatives.",1,https://www.evergreen.ca/evergreen-brick-works,,,false,"nature,market,outdoor,eco-friendly",2025-05-28T14:52:12.941Z,3,activity,Don Valley,year-round,varies,activity
34,TIFF Bell Lightbox,Catch independent and international films at the home of the Toronto International Film Festival.,https://source.unsplash.com/random/?TIFF%20Bell%20Lightbox,170,4,2025-01-01,2025-12-31,,varies,Catch independent and international films at the home of the Toronto International Film Festival.,5,https://www.tiff.net,,,false,"film,culture,indoor,entertainment",2025-05-28T14:52:12.941Z,4,activity,Entertainment District,year-round,varies,activity
35,Ossington Strip Bar Crawl,Experience Toronto's trendiest bars and restaurants along this hip stretch of Ossington Avenue.,https://source.unsplash.com/random/?Ossington%20Strip%20Bar%20Crawl,171,7,2025-01-01,2025-12-31,,varies,Experience Toronto's trendiest bars and restaurants along this hip stretch of Ossington Avenue.,4,https://www.blogto.com/ossington,,,false,"nightlife,food,walking,social",2025-05-28T14:52:12.941Z,7,activity,Ossington Strip,year-round,varies,activity
36,Montreal Casino,"Try your luck at Quebec's largest casino, featuring gaming tables, slots, and entertainment in an architectural landmark.",https://source.unsplash.com/random/?Montreal%20Casino,211,4,2025-01-01,2025-12-31,,varies,"Try your luck at Quebec's largest casino, featuring gaming tables, slots, and entertainment in an architectural landmark.",1,https://casinos.lotoquebec.com/en/montreal,,,false,"gambling,entertainment,nightlife",2025-05-28T14:52:12.941Z,4,activity,Montreal,year-round,varies,activity
37,La Ronde Amusement Park,Enjoy thrilling rides and spectacular views at Montreal's premier amusement park on Saint Helen's Island.,https://source.unsplash.com/random/?La%20Ronde%20Amusement%20Park,212,4,2025-05-01,2025-10-31,,varies,Enjoy thrilling rides and spectacular views at Montreal's premier amusement park on Saint Helen's Island.,6,https://www.laronde.com,,,false,"thrill,outdoor,family-friendly,seasonal",2025-05-28T14:52:12.941Z,4,activity,Montreal,year-round,varies,activity
38,Atwater Market,"Visit this historic Art Deco market building filled with local vendors, fresh produce, and specialty food shops.",https://source.unsplash.com/random/?Atwater%20Market,213,2,2025-01-01,2025-12-31,,varies,"Visit this historic Art Deco market building filled with local vendors, fresh produce, and specialty food shops.",1,https://www.marchespublics-mtl.com/en/marches/atwater-market/,,,false,"food,shopping,indoor,local",2025-05-28T14:52:12.941Z,2,activity,Saint-Henri,year-round,varies,activity
39,Saint Joseph's Oratory,"Explore North America's largest church, offering breathtaking views and impressive architecture.",https://source.unsplash.com/random/?Saint%20Joseph's%20Oratory,214,1,2025-01-01,2025-12-31,,varies,"Explore North America's largest church, offering breathtaking views and impressive architecture.",1,https://www.saint-joseph.org,,,false,"architecture,spiritual,photography,free",2025-05-28T14:52:12.941Z,1,activity,Montreal,year-round,varies,activity
40,Underground City Shopping,"Navigate Montreal's famous underground pedestrian network connecting shopping malls, offices, and metro stations.",https://source.unsplash.com/random/?Underground%20City%20Shopping,215,6,2025-01-01,2025-12-31,,varies,"Navigate Montreal's famous underground pedestrian network connecting shopping malls, offices, and metro stations.",1,https://montrealundergroundcity.com,,,false,"shopping,indoor,unique,winter-activity",2025-05-28T14:52:12.941Z,6,activity,Downtown Montreal,year-round,varies,activity
41,Toronto Food Festival,"Celebrate Toronto's diverse culinary scene with food vendors, cooking demonstrations, and cultural performances.",https://source.unsplash.com/random/?Toronto%20Food%20Festival,172,2,2025-07-15,2025-07-21,,varies,"Celebrate Toronto's diverse culinary scene with food vendors, cooking demonstrations, and cultural performances.",4,https://www.toronto.ca/explore-enjoy/festivals-events/,,,false,"food,festival,outdoor,seasonal",2025-05-28T14:52:12.941Z,2,activity,Downtown Toronto,year-round,varies,activity
42,Montreal Jazz Festival,Experience the world's largest jazz festival with hundreds of performances across multiple venues.,https://source.unsplash.com/random/?Montreal%20Jazz%20Festival,216,4,2025-06-26,2025-07-05,,varies,Experience the world's largest jazz festival with hundreds of performances across multiple venues.,4,https://www.montrealjazzfest.com,,,false,"music,festival,outdoor,culture",2025-05-28T14:52:12.941Z,4,activity,Downtown Montreal,year-round,varies,activity
43,Toronto Night Market,"Explore an evening market featuring local artisans, street food, and live entertainment.",https://source.unsplash.com/random/?Toronto%20Night%20Market,173,2,2025-07-01,2025-09-30,,varies,"Explore an evening market featuring local artisans, street food, and live entertainment.",1,https://www.toronto.ca/explore-enjoy/festivals-events/night-markets/,,,false,"food,market,nightlife,culture",2025-05-28T14:52:12.941Z,2,activity,Downtown Toronto,year-round,varies,activity
44,Montreal Ice Skating,Glide across outdoor rinks in the heart of the city with stunning urban backdrops.,https://source.unsplash.com/random/?Montreal%20Ice%20Skating,217,3,2025-12-01,2026-03-15,,varies,Glide across outdoor rinks in the heart of the city with stunning urban backdrops.,5,https://www.mtl.org/en/what-to-do/activities/outdoor-skating-rinks-montreal,,,false,"winter,outdoor,active,seasonal",2025-05-28T14:52:12.941Z,3,activity,Downtown Montreal,year-round,varies,activity
45,Toronto Craft Beer Tour,Sample the city's best craft breweries while learning about the brewing process and history.,https://source.unsplash.com/random/?Toronto%20Craft%20Beer%20Tour,174,7,2025-01-01,2025-12-31,,varies,Sample the city's best craft breweries while learning about the brewing process and history.,6,https://www.torontocraftbrewtours.ca,,,false,"beer,guided-tour,nightlife,local",2025-05-28T14:52:12.941Z,7,activity,West Toronto,year-round,varies,activity
46,Toronto Escape Room Challenge,Test your problem-solving skills in one of Toronto's top-rated escape room experiences.,https://source.unsplash.com/random/?Toronto%20Escape%20Room%20Challenge,175,4,2025-01-01,2025-12-31,,varies,Test your problem-solving skills in one of Toronto's top-rated escape room experiences.,2,https://www.escapegames.ca,,,false,"indoor,puzzle,group-activity,entertainment",2025-05-28T14:52:12.941Z,4,activity,Downtown Toronto,year-round,varies,activity
47,Montreal Food Truck Festival,Sample diverse cuisines from Montreal's best food trucks at this popular outdoor event.,https://source.unsplash.com/random/?Montreal%20Food%20Truck%20Festival,218,2,2025-07-12,2025-07-14,,varies,Sample diverse cuisines from Montreal's best food trucks at this popular outdoor event.,1,https://www.firstfoodtruckfridays.com,,,false,"food,festival,outdoor,summer",2025-05-28T14:52:12.941Z,2,activity,Downtown Montreal,year-round,varies,activity
48,Toronto Sunset Sailing,Experience Toronto's skyline from the water with a relaxing evening sail on Lake Ontario.,https://source.unsplash.com/random/?Toronto%20Sunset%20Sailing,176,3,2025-05-01,2025-09-30,,varies,Experience Toronto's skyline from the water with a relaxing evening sail on Lake Ontario.,5,https://www.harbourfrontcentre.com/sailing,,,false,"water-activity,romantic,outdoor,sunset",2025-05-28T14:52:12.941Z,3,activity,Harbourfront,year-round,varies,activity
49,Montreal Ghost Tour,Discover the spooky side of Old Montreal with tales of haunted locations and historical mysteries.,https://source.unsplash.com/random/?Montreal%20Ghost%20Tour,219,8,2025-01-01,2025-12-31,,varies,Discover the spooky side of Old Montreal with tales of haunted locations and historical mysteries.,2,https://www.ghosttoursofmontreal.com,,,false,"ghost-tour,history,walking,nighttime",2025-05-28T14:52:12.941Z,8,activity,Old Montreal,year-round,varies,activity
50,Toronto Pottery Workshop,Learn the art of ceramics in a hands-on workshop with experienced local artists.,https://source.unsplash.com/random/?Toronto%20Pottery%20Workshop,177,1,2025-01-01,2025-12-31,,varies,Learn the art of ceramics in a hands-on workshop with experienced local artists.,3,https://www.gardinermuseum.on.ca/learn-create,,,false,"art,workshop,creative,indoor",2025-05-28T14:52:12.941Z,1,activity,Yorkville,year-round,varies,activity
51,Montreal Chocolate Making Class,Create your own artisanal chocolates while learning from master chocolatiers.,https://source.unsplash.com/random/?Montreal%20Chocolate%20Making%20Class,220,2,2025-01-01,2025-12-31,,varies,Create your own artisanal chocolates while learning from master chocolatiers.,4,https://www.chocolateacademymontreal.com,,,false,"food,workshop,indoor,hands-on",2025-05-28T14:52:12.941Z,2,activity,Downtown Montreal,year-round,varies,activity
52,Toronto Rock Climbing,Challenge yourself at one of Toronto's premier indoor climbing facilities.,https://source.unsplash.com/random/?Toronto%20Rock%20Climbing,178,3,2025-01-01,2025-12-31,,varies,Challenge yourself at one of Toronto's premier indoor climbing facilities.,2,https://www.joerockhead.com,,,false,"indoor-sports,active,fitness,adventure",2025-05-28T14:52:12.941Z,3,activity,Liberty Village,year-round,varies,activity
53,Montreal Street Art Workshop,Learn spray painting techniques from local artists in this hands-on street art experience.,https://source.unsplash.com/random/?Montreal%20Street%20Art%20Workshop,221,1,2025-05-01,2025-09-30,,varies,Learn spray painting techniques from local artists in this hands-on street art experience.,3,https://www.spadeandpalacio.com/tours/montreal-street-art,,,false,"art,workshop,creative,outdoor",2025-05-28T14:52:12.941Z,1,activity,Plateau Mont-Royal,year-round,varies,activity
54,Toronto Cooking Class,Master the art of international cuisine with expert chefs in a professional kitchen setting.,https://source.unsplash.com/random/?Toronto%20Cooking%20Class,179,2,2025-01-01,2025-12-31,,varies,Master the art of international cuisine with expert chefs in a professional kitchen setting.,4,https://www.dishcookingstudio.com,,,false,"cooking,workshop,food,hands-on",2025-05-28T14:52:12.941Z,2,activity,King West,year-round,varies,activity
55,Montreal Wine Tasting,Sample fine wines from Quebec and around the world with expert sommeliers.,https://source.unsplash.com/random/?Montreal%20Wine%20Tasting,222,7,2025-01-01,2025-12-31,,varies,Sample fine wines from Quebec and around the world with expert sommeliers.,5,https://www.mtlwinepros.com,,,false,"wine,tasting,indoor,educational",2025-05-28T14:52:12.941Z,7,activity,Downtown Montreal,year-round,varies,activity
56,Toronto Photography Tour,Capture the city's most photogenic locations with guidance from professional photographers.,https://source.unsplash.com/random/?Toronto%20Photography%20Tour,180,8,2025-04-01,2025-10-31,,varies,Capture the city's most photogenic locations with guidance from professional photographers.,3,https://www.torontophototours.com,,,false,"photography,walking,creative,outdoor",2025-05-28T14:52:12.941Z,8,activity,Downtown Toronto,year-round,varies,activity
57,Montreal Circus Workshop,Try aerial arts and acrobatics in a beginner-friendly circus skills class.,https://source.unsplash.com/random/?Montreal%20Circus%20Workshop,223,4,2025-01-01,2025-12-31,,varies,Try aerial arts and acrobatics in a beginner-friendly circus skills class.,4,https://www.ecolenationale.ca/en,,,false,"circus,workshop,active,unique",2025-05-28T14:52:12.941Z,4,activity,Saint-Michel,year-round,varies,activity
58,Toronto Kayaking Adventure,Paddle through the Toronto Islands and discover hidden lagoons and channels.,https://source.unsplash.com/random/?Toronto%20Kayaking%20Adventure,181,3,2025-05-01,2025-09-30,,varies,Paddle through the Toronto Islands and discover hidden lagoons and channels.,3,https://www.torontoislandkayaks.com,,,false,"water-sports,outdoor,active,adventure",2025-05-28T14:52:12.941Z,3,activity,Toronto Islands,year-round,varies,activity
59,Montreal Beer Festival,Taste craft beers from Quebec's best breweries at this annual celebration.,https://source.unsplash.com/random/?Montreal%20Beer%20Festival,224,7,2025-06-19,2025-06-23,,varies,Taste craft beers from Quebec's best breweries at this annual celebration.,4,https://www.festivalmondialbiere.qc.ca,,,false,"beer,festival,tasting,outdoor",2025-05-28T14:52:12.941Z,7,activity,Downtown Montreal,year-round,varies,activity
60,Toronto Silent Disco,Dance to your own beat at this unique headphone party experience.,https://source.unsplash.com/random/?Toronto%20Silent%20Disco,182,4,2025-01-01,2025-12-31,,varies,Dance to your own beat at this unique headphone party experience.,2,https://www.silentdiscoto.com,,,false,"nightlife,music,unique,indoor",2025-05-28T14:52:12.941Z,4,activity,Entertainment District,year-round,varies,activity
ac478953_titledescr,title|description|image|location|type|skillLevel|startDate|endDate|registrationDeadline|duration|activityDetails|cost|website|travelTime|googleMapLink|lgbtqFriendly|tags|Instagramhandle|tiktokhandle|othersociallinks|contactemailaddress,No description available,https://source.unsplash.com/random/?title%7Cdescription%7Cimage%7Clocation%7Ctype%7CskillLevel%7CstartDate%7CendDate%7CregistrationDeadline%7Cduration%7CactivityDetails%7Ccost%7Cwebsite%7CtravelTime%7CgoogleMapLink%7ClgbtqFriendly%7Ctags%7CInstagramhandle%7Ctiktokhandle%7Cothersociallinks%7Ccontactemailaddress,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
ac478953_unknown,Untitled,No description available,https://source.unsplash.com/random/?Untitled,loc1,cat1,,,,varies,No description available,price1,#,,,false,Activity,2025-05-30T21:27:58.953Z,cat1,activity,,year-round,varies,activity
